,quote
29,"“Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that youâ€™ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you canâ€™t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid itâ€™s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didnâ€™t exist at all. A phone call or two during the day helps to get you through a long dayâ€™s work and always brings a smile to your face. In their presence, thereâ€™s no need for continuous conversation, but you find youâ€™re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that thereâ€™s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure thatâ€™s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”"
30,"“All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.”"
31,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
32,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
33,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
34,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
35,“It does not do to dwell on dreams and forget to live.”
36,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
37,"“As he read, I fell in love the way you fall asleep: slowly, and then all at once.”"
38,"“We are all in the gutter, but some of us are looking at the stars.”"
39,"“Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”"
40,"“It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”"
41,"“The fool doth think he is wise, but the wise man knows himself to be a fool.”"
42,"“Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”"
43,“Life is what happens to us while we are making other plans.”
44,"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”"
45,"“I have not failed. I've just found 10,000 ways that won't work.”"
46,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
47,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”"
48,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
49,“The man who does not read has no advantage over the man who cannot read.”
50,“If you don't stand for something you will fall for anything.”
51,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”"
52,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”"
53,“I solemnly swear that I am up to no good.”
54,"“Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”"
55,“I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”
56,"“Love all, trust a few, do wrong to none.”"
57,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”"
58,“Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”
59,"“A day without sunshine is like, you know, night.”"
60,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”"
61,“Never put off till tomorrow what may be done day after tomorrow just as well.”
62,“
63,“You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”
64,“That which does not kill us makes us stronger.”
65,"“Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”"
66,“It is never too late to be what you might have been.”
67,“For every minute you are angry you lose sixty seconds of happiness.”
68,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”"
69,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
70,“I love deadlines. I love the whooshing noise they make as they go by.”
71,"“If you judge people, you have no time to love them.”"
72,"“There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”"
73,"“If you can't explain it to a six year old, you don't understand it yourself.”"
74,"“I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”"
75,“There is no greater agony than bearing an untold story inside you.”
76,“Love is that condition in which the happiness of another person is essential to your own.”
77,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
78,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”"
79,“I have always imagined that Paradise will be a kind of library.”
80,“Everything you can imagine is real.”
81,"“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”"
82,“Sometimes the questions are complicated and the answers are simple.”
83,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfectâ€”you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can breakâ€”her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"
84,“Never trust anyone who has not brought a book with them.”
85,"“You love me. Real or not real?""I tell him, ""Real.”"
86,“You can never get a cup of tea large enough or a book long enough to suit me.”
87,“We read to know we're not alone.”
88,"“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”"
89,“All you need is love. But a little chocolate now and then doesn't hurt.”
90,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”"
91,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
92,“Life isn't about finding yourself. Life is about creating yourself.”
93,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”"
94,"“To the well-organized mind, death is but the next great adventure.”"
95,“I'm not afraid of death; I just don't want to be there when it happens.”
96,"“If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”"
97,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”"
98,"“Have you fallen in love with the wrong person yet?'Jace said, ""Unfortunately, Lady of the Haven, my one true love remains myself.""...""At least,"" she said, ""you don't have to worry about rejection, Jace Wayland.""""Not necessarily. I turn myself down occasionally, just to keep it interesting.”"
99,“Logic will get you from A to Z; imagination will get you everywhere.”
100,"“I'm in love with you,"" he said quietly.""Augustus,"" I said.""I am,"" he said. He was staring at me, and I could see the corners of his eyes crinkling. ""I'm in love with you, and I'm not in the business of denying myself the simple pleasure of saying true things. I'm in love with you, and I know that love is just a shout into the void, and that oblivion is inevitable, and that we're all doomed and that there will come a day when all our labor has been returned to dust, and I know the sun will swallow the only earth we'll ever have, and I am in love with you.”"
101,"“Whenever I feel the need to exercise, I lie down until it goes away.”"
102,"“I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”"
103,“Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.”
104,“You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”
105,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”"
106,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”"
107,"“Love looks not with the eyes, but with the mind,And therefore is winged Cupid painted blind.”"
108,“Folks are usually about as happy as they make their minds up to be.”
109,"“Do what you can, with what you have, where you are.”"
110,“There is no friend as loyal as a book.”
111,"“One good thing about music, when it hits you, you feel no pain.”"
112,"“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”"
113,“The story so far:In the beginning the Universe was created.This has made a lot of people very angry and been widely regarded as a bad move.”
114,“Not all of us can do great things. But we can do small things with great love.”
115,"“Success is not final, failure is not fatal: it is the courage to continue that counts.”"
116,"“Love is like the wind, you can't see it but you can feel it.”"
117,"“Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”"
118,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”"
119,"“If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”"
120,"“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”"
121,"“Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”"
122,"“People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life. A true soul mate is probably the most important person you'll ever meet, because they tear down your walls and smack you awake. But to live with a soul mate forever? Nah. Too painful. Soul mates, they come into your life just to reveal another layer of yourself to you, and then leave. A soul mates purpose is to shake you up, tear apart your ego a little bit, show you your obstacles and addictions, break your heart open so new light can get in, make you so desperate and out of control that you have to transform your life, then introduce you to your spiritual master...”"
123,"“It matters not what someone is born, but what they grow to be.”"
124,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”"
125,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”"
126,"“You don't love someone because they're perfect, you love them in spite of the fact that they're not.”"
127,“Some people never go crazy. What truly horrible lives they must lead.”
128,“The difference between genius and stupidity is: genius has its limits.”
129,"“Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”"
130,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”"
131,"“If you can make a woman laugh, you can make her do anything.”"
132,"“Weâ€™re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdnessâ€”and call it loveâ€”true love.”"
133,"“You donâ€™t have a soul, Doctor. You are a soul. You have a body, temporarily.”"
134,"“I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”"
135,“Some infinities are bigger than other infinities.”
136,“Do one thing every day that scares you.”
137,“It is what you read when you don't have to that determines what you will be when you can't help it.”
138,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”"
139,“If I had a flower for every time I thought of you...I could walk through my garden forever.”
140,"“One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.”"
141,“Not all those who wander are lost.”
142,“Time you enjoy wasting is not wasted time.”
143,“Reality continues to ruin my life.”
144,“Things change. And friends leave. Life doesn't stop for anybody.”
145,"“There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”"
146,“Who are you to judge the life I live?I know I'm not perfect-and I don't live to be-but before you start pointing fingers...make sure you hands are clean!”
147,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”
148,"“If there's a book that you want to read, but it hasn't been written yet, then you must write it.”"
149,"“Piglet sidled up to Pooh from behind. ""Pooh!"" he whispered.""Yes, Piglet?""""Nothing,"" said Piglet, taking Pooh's paw. ""I just wanted to be sure of you.”"
150,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”"
151,“The only way out of the labyrinth of suffering is to forgive.”
152,"“He's like a drug for you, Bella.”"
153,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”"
154,“The reason I talk to myself is because Iâ€™m the only one whose answers I accept.”
155,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”"
156,“Go to heaven for the climate and hell for the company.”
157,"“I wish it need not have happened in my time,"" said Frodo.""So do I,"" said Gandalf, ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.”"
158,"“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”"
159,"“Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears.""After all this time?""""Always,"" said Snape.”"
160,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”
161,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”"
162,"“And, when you want something, all the universe conspires in helping you to achieve it.”"
163,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”"
164,"“He has achieved success who has lived well, laughed often, and loved much;Who has enjoyed the trust of pure women, the respect of intelligent men and the love of little children;Who has filled his niche and accomplished his task;Who has never lacked appreciation of Earth's beauty or failed to express it;Who has left the world better than he found it,Whether an improved poppy, a perfect poem, or a rescued soul;Who has always looked for the best in others and given them the best he had;Whose life was an inspiration;Whose memory a benediction.”"
165,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”"
166,“I've been making a list of the things they don't teach you at school. They don't teach you how to love somebody. They don't teach you how to be famous. They don't teach you how to be rich or how to be poor. They don't teach you how to walk away from someone you don't love any longer. They don't teach you how to know what's going on in someone else's mind. They don't teach you what to say to someone who's dying. They don't teach you anything worth knowing.”
167,“â€²Classicâ€² - a book which people praise and don't read.”
168,“I love mankind ... it's people I can't stand!!”
169,“You donâ€™t forget the face of the person who was your last hope.”
170,“I am free of all prejudice. I hate everyone equally. ”
171,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”
172,“I have never let my schooling interfere with my education.”
173,“The books that the world calls immoral are books that show the world its own shame.”
174,“The marks humans leave are too often scars.”
175,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”
176,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”"
177,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”"
178,“To die will be an awfully big adventure.”
179,"“Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.”"
180,“Anyone who has never made a mistake has never tried anything new.”
181,“Some day you will be old enough to start reading fairy tales again.”
182,"“We are what we pretend to be, so we must be careful about what we pretend to be.”"
183,“It takes courage to grow up and become who you really are.”
184,"“Itâ€™s no use going back to yesterday, because I was a different person then.”"
185,"“And in that moment, I swear we were infinite.”"
186,“Books are a uniquely portable magic.”
187,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”"
188,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”"
189,"“I can never read all the books I want; I can never be all the people I want and live all the lives I want. I can never train myself in all the skills I want. And why do I want? I want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. And I am horribly limited.”"
190,“But better to get hurt by the truth than comforted with a lie.”
191,“Books are the ultimate Dumpees: put them down and theyâ€™ll wait for you forever; pay attention to them and they always love you back.”
192,"“We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.”"
193,"“There is nothing better than a friend, unless it is a friend with chocolate.”"
194,"“So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday, but I want to do that because I want you. I want all of you, forever, everyday. You and me... everyday.”"
195,“The truth is rarely pure and never simple.”
196,"“There are infinite numbers between 0 and 1. There's .1 and .12 and .112 and an infinite collection of others. Of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. Some infinities are bigger than other infinities. A writer we used to like taught us that. There are days, many of them, when I resent the size of my unbounded set. I want more numbers than I'm likely to get, and God, I want more numbers for Augustus Waters than he got. But, Gus, my love, I cannot tell you how thankful I am for our little infinity. I wouldn't trade it for the world. You gave me a forever within the numbered days, and I'm grateful.”"
197,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”"
198,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”"
199,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”"
200,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”
201,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”"
202,“Memories warm you up from the inside. But they also tear you apart.”
203,“A lie can travel half way around the world while the truth is putting on its shoes.”
204,“Never tell the truth to people who are not worthy of it.”
205,“Be nice to nerds. You may end up working for them. We all could.”
206,"“Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.”"
207,“Tis better to have loved and lostThan never to have loved at all.”
208,“Knowing yourself is the beginning of all wisdom.”
209,"“It's so hard to forget pain, but it's even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace.”"
210,"“I love you as certain dark things are to be loved, in secret, between the shadow and the soul.”"
211,"“Do you remember me telling you we are practicing non-verbal spells, Potter?""""Yes,"" said Harry stiffly.""Yes, sir.""""There's no need to call me ""sir"" Professor.""The words had escaped him before he knew what he was saying.”"
212,“Only the very weak-minded refuse to be influenced by literature and poetry.”
213,“It's the possibility of having a dream come true that makes life interesting.”
214,"“Be not afraid of greatness. Some are born great, some achieve greatness, and others have greatness thrust upon them.”"
215,"“What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.”"
216,“Happiness in intelligent people is the rarest thing I know.”
217,“A day without laughter is a day wasted.”
218,"“Heâ€™s not perfect. You arenâ€™t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isnâ€™t going to quote poetry, heâ€™s not thinking about you every moment, but he will give you a part of him that he knows you could break. Donâ€™t hurt him, donâ€™t change him, and donâ€™t expect for more than he can give. Donâ€™t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when heâ€™s not there. Love hard when there is love to be had. Because perfect guys donâ€™t exist, but thereâ€™s always one guy that is perfect for you.”"
219,"“A person's a person, no matter how small.”"
220,“The only true wisdom is in knowing you know nothing.”
221,“Perhaps one did not want to be loved so much as to be understood.”
222,"“Yes: I am a dreamer. For a dreamer is one who can only find his way by moonlight, and his punishment is that he sees the dawn before the rest of the world.”"
223,"“When adults say, ""Teenagers think they are invincible"" with that sly, stupid smile on their faces, they don't know how right they are. We need never be hopeless, because we can never be irreparably broken. We think that we are invincible because we are. We cannot be born, and we cannot die. Like all energy, we can only change shapes and sizes and manifestations. They forget that when they get old. They get scared of losing and failing. But that part of us greater than the sum of our parts cannot begin and cannot end, and so it cannot fail.”"
224,"“I became insane, with long intervals of horrible sanity.”"
225,"“Oh, I wouldn't mind, Hazel Grace. It would be a privilege to have my heart broken by you.”"
226,"“Jesus!"" Luke exclaimed.""Actually, it's just me,"" said Simon. ""Although I've been told the resemblance is startling.”"
227,"“When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”"
228,“Numbing the pain for a while will make it worse when you finally feel it.”
229,"“I finally understood what true love meant...love meant that you care for another person's happiness more than your own, no matter how painful the choices you face might be.”"
230,“You can never be overdressed or overeducated.”
231,“Just because you have the emotional range of a teaspoon doesn't mean we all have.”
232,“It is one of the blessings of old friends that you can afford to be stupid with them.”
233,"“The one you love and the one who loves you are never, ever the same person.”"
234,“Be careful about reading health books. Some fine day you'll die of a misprint.”
235,“Have you ever noticed how â€˜What the hellâ€™ is always the right decision to make?”
236,"“Books are the quietest and most constant of friends; they are the most accessible and wisest of counselors, and the most patient of teachers.”"
237,"“You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.”"
238,“An eye for an eye will only make the whole world blind.”
239,“If you're gonna be two-faced at least make one of them pretty.”
240,"“Until I feared I would lose it, I never loved to read. One does not love breathing.”"
241,“The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.”
242,"“I would rather walk with a friend in the dark, than alone in the light.”"
243,"“So I walked back to my room and collapsed on the bottom bunk, thinking that if people were rain, I was drizzle and she was a hurricane.”"
244,“Music expresses that which cannot be put into words and that which cannot remain silent”
245,"“I speak to everyone in the same way, whether he is the garbage man or the president of the university.”"
246,"“A great book should leave you with many experiences, and slightly exhausted at the end. You live several lives while reading.”"
247,"“The truth will set you free, but first it will piss you off.”"
248,“Do you hate people?â€�â€œI don't hate them...I just feel better when they're not around.”
249,“Creativity is knowing how to hide your sources”
250,“How wonderful it is that nobody need wait a single moment before starting to improve the world.”
251,“I am no bird; and no net ensnares me: I am a free human being with an independent will.”
252,"“Fate is like a strange, unpopular restaurant filled with odd little waiters who bring you things you never asked for and don't always like.”"
253,"“Is this the part where you start tearing off strips of your shirt to bind my wounds?""""If you wanted me to rip my clothes off, you should have just asked.”"
254,“A children's story that can only be enjoyed by children is not a good children's story in the slightest.”
255,"“The Seven Social Sins are: Wealth without work. Pleasure without conscience. Knowledge without character. Commerce without morality. Science without humanity. Worship without sacrifice. Politics without principle.From a sermon given by Frederick Lewis Donaldson in Westminster Abbey, London, on March 20, 1925.”"
256,“You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.”
257,"“If you don't have time to read, you don't have the time (or the tools) to write. Simple as that.”"
258,"“When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.”"
259,"“I wish I could freeze this moment, right here, right now and live in it forever.”"
260,"“The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok, then it's you.”"
261,"“Life is an awful, ugly place to not have a best friend.”"
262,"“Happiness is when what you think, what you say, and what you do are in harmony.”"
263,"“Keep away from people who try to belittle your ambitions. Small people always do that, but the really great make you feel that you, too, can become great.”"
264,"“Never forget what you are, for surely the world will not. Make it your strength. Then it can never be your weakness. Armour yourself in it, and it will never be used to hurt you.”"
265,"“I don't want to be a man,"" said Jace. ""I want to be an angst-ridden teenager who can't confront his own inner demons and takes it out verbally on other people instead.""""Well,"" said Luke, ""you're doing a fantastic job.”"
266,“I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing. Only I will remain.”
267,"“I no longer believed in the idea of soul mates, or love at first sight. But I was beginning to believe that a very few times in your life, if you were lucky, you might meet someone who was exactly right for you. Not because he was perfect, or because you were, but because your combined flaws were arranged in a way that allowed two separate beings to hinge together.”"
268,“Well-behaved women seldom make history.”
269,"“Give a man a fire and he's warm for a day, but set fire to him and he's warm for the rest of his life.”"
270,"“We're all human, aren't we? Every human life is worth the same, and worth saving.”"
271,“With great power... comes great need to take a nap. Wake me up later.”
272,“Being a woman is a terribly difficult trade since it consists principally of dealings with men.”
273,“One is loved because one is loved. No reason is needed for loving.”
274,"“Everyone thinks of changing the world, but no one thinks of changing himself.”"
275,"“If we find ourselves with a desire that nothing in this world can satisfy, the most probable explanation is that we were made for another world.”"
276,“It's the friends you can call up at 4 a.m. that matter.”
277,"“Becoming fearless isn't the point. That's impossible. It's learning how to control your fear, and how to be free from it.”"
